Published,Name,Home page,Source URL,Documentation,Description,Usage Audience,Installation Audience,Deployment,Development Status,Notes,Tags,Type,Type Application,Type Library,Type Data Source,Type Schema,Practice,Sub Practice,Practice 2,Sub Practice 2,Practice 3,Sub Practice 3,Feature Data Modeling,Feature Import,Feature Displays Lists,Feature Network Viz,Feature Network Editing,Feature Network Analysis,Feature Embeddable,Feature Document Viz,Feature Timelines,Feature Maps,Feature Export,Open Source,Open Source License,Data Import Formats,Data Export Formats,Has Schema?,Schema Domain,Schema URL,Team,Project Specific,Project,Programming Language,Dependency 1,Dependency 2,Dependency 3,Dependency Others
,Palantir Gotham,http://www.palantir.com/palantir-gotham/,,,Entities & events mega-integration thingie,Data User,Developer,,,,,tool,,,,,,,,,,,,,,,,,,,,,,No,,,,N/A (proprietary),,,,,,,,,,
,Palladio,http://palladio.designhumanities.org/#/,,http://hdlab.stanford.edu/projects/palladio/,"Palladio is a web-based platform for the visualization of complex, multi-dimensional data.",,,,,,,tool,,,,,,,,,,,,,,,,,,,,,,No,,,,N/A (proprietary),,,,,,,,,,
,Untangled,http://knightlab.northwestern.edu/tag/untangled/ http://untangled.knightlab.com/,,,tbd,,,,,,,tool,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,http://knightlab.northwestern.edu/,,,,,,,
,Google Web Tables,http://dariae.com/workWebtables.html,,,,,,,,,,tool,,,,,,,,,,,,,,,,,,,,,,No,,,,N/A (proprietary),,,,,,,,,,
,yED,http://www.yworks.com/en/products/yfiles/yed/,,,"Desktop graph editor, diverse layouts",,,,,,,tool (desktop graph editor),,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
,NodeXL,http://nodexl.codeplex.com/,http://nodexl.codeplex.com/SourceControl/latest,http://nodexl.codeplex.com/documentation,Excel plugin for social network analysis,,,,,,,tool (desktop),,,,,,,,,,,,,,,,,,,,,,Yes,MS-Pl,,,,,,,,,C++,Excel,,,
,Gephi,https://gephi.org/,https://github.com/gephi/gephi,http://wiki.gephi.org/index.php/Main_Page,Graph analysis and visualization desktop tool,,,,,,,tool (desktop),,,,,,,,,,,,,,,,,,,,,,Yes,GPL,,,,,,Gephi Consortium,,,Java,Netbeans,,,
,i2 Analysts Notebook,http://www-03.ibm.com/software/products/us/en/analysts-notebook/,,http://public.dhe.ibm.com/common/ssi/ecm/en/zzd03127usen/ZZD03127USEN.PDF,Fancy commercial network analysis application,,,,,,,tool (desktop),,,,,,,,,,,,,,,,,,,,,,No,,,,,,,http://ibm.com,,,,,,,
,UCINet,https://sites.google.com/site/ucinetsoftware/,https://sites.google.com/site/ucinetsoftware/downloads,https://sites.google.com/site/ucinetsoftware/document,Scientific desktop social network analysis tool,,,,,,,tool (desktop),,,,,,,,,,,,,,,,,,,,,,No,,,,,,,"Lin Freeman, Martin Everett and Steve Borgatti",,,,,,,
,Maltego,https://www.paterva.com/web6/products/maltego.php,,,Web crawler and entity mapping tool ,,,,,,,tool (desktop),,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
,NUIX,http://www.nuix.com/,,,Used in ICIJ Offshore Leaks,,,,,,,tool (desktop),,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
,GCD,,,https://www.youtube.com/watch?v=e_-prYgl0GM,Lotus Notes coprorate mapping plugin used by corporate lawyers,,,,,,,tool,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
,django-rolodex,https://pypi.python.org/pypi/django-rolodex/0.1.0,https://github.com/DallasMorningNews/django-rolodex/,,Manage people and links in your CMS,Developer,Developer,,,,,tool,,,,,,,,,,,,,,,,,,,,,,Yes,MIT,,,,,,Dallas Morning News,,,Python,Django,,,
,Structur,https://structr.org/,https://github.com/structr/structr,https://docs.structr.org/,Structr is a Java framework for mobile and web applications based on the graph database Neo4j.,Data User,Developer,"Server, Hosted",,,,tool,,,,,,,,,,,,,,,,,,,,,,Yes,GPL,,,,,,,,,,,,,
,Tags,https://tags.hawksey.info/get-tags/,,,Extract tweets to spreadsheet and visualize it,Data User,,,,,,tool,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
,Linkuriousjs,https://github.com/Linkurious/linkurious.js,https://github.com/Linkurious/linkurious.js,,Javascript visualization toolkit for graph visualization and interaction. Provides a collection of HTML5 features based on Sigma.js,Developer,Developer,Browser,,,,library,,,,,,,,,,,,,Yes,,,,,,,,,Yes,GPL,,,,,,,,,Javascript,Sigma.js,,,
,Timesheet.js,https://sbstjn.github.io/timesheet.js/,,,Simple JavaScript library to create HTML time sheets.,Developer,Developer,Browser,,,,Library,,,,,,,,,,,,,,,,,,,Yes,,,Yes,MIT,,,,,,,,,,,,,
,Hyphe ,http://hyphe.medialab.sciences-po.fr/,,,"Hyphe is a web corpus curation tool 
featuring a research-driven web crawler",Data User,,Server,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,LGPL,,,,,,,,,,,,,
,Manylines,medialab.github.io/manylines ,https://github.com/medialab/manylines,,Explore networks and publish narratives.,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,LGPL,,,,,,,,,,,,,
,Storyweb,http://pudo.org/blog/2014/12/03/newsclipse.html,https://github.com/pudo/storyweb,,A contextual news development environment.,Data User,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,MIT,,,,,,,,,,,,,
,Archieml,http://archieml.org/,https://github.com/newsdev/archieml.org,,ArchieML is a structured text format optimized for human writability.,Data User,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Apache,,,,,,,,,,,,,
,Keylines,http://keylines.com/,,,"KeyLines is a technology for understanding connected data.
By exploring the networks in your data, you will find patterns and trends 
that are otherwise hidden, generating actionable insight.",Data User,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,
,Aleph,https://github.com/pudo/aleph,https://github.com/pudo/aleph,,Toys for sifting through large sets of documents,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,MIT,,,,,,,,,,,,,
,SpenDB,https://spendb-dev.herokuapp.com/,https://github.com/openspending/spendb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Affero,,,,,,,,,,,,,
,RAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Data Wrangler,http://vis.stanford.edu/wrangler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2 Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Google Fusion Tables,http://tables.googlelabs.com/,,https://support.google.com/fusiontables/answer/2571232,,User,User,Hosted,,,,,,,,,Collect,Collect Data,Organise,Integrate Data,,,,Yes,Yes,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,
,Open Refine,,,,,,,,,,,,,,,,Collect,Clean Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mr. Data Converter ,,,,"convert Excel data into one of several web-friendly formats, including HTML, JSON and XML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mr. People ,,,,Parse and extract names.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Orgnet,http://www.orgnet.com/cases.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RAW,"http://raw.densitydesign.org
",,,Visualization tool for non visualization people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Overview,,,,Visualize and query bulk of pdf documents,,,,,,"Folder full of pdfs what do you do with it? (When you don't have time to read them all, made for fast workflow and very large datasets) Extensible import and analysis.",,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Javascript,Node,PDF.js,,
,PANDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tabula,http://tabula.technology/,,,Liberate data from tables from PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,
,Open Semantic Search,http://www.opensemanticsearch.org/,https://github.com/opensemanticsearch,http://www.opensemanticsearch.org/doc/search,"Free Software for your own Search Engine, Data Explorer, Analytics, Text Mining and Research Tools based on Apache Lucene / Solr or Elastic Search open-source enterprise-search and Open Standards for Linked Data and Semantic Web",User,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,d3.js,https://github.com/wbkd/awesome-d3,,,,Developer,Developer,Browser,Active,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,Javascript,,,,
,Morph.io,https://morph.io/,https://github.com/openaustralia/morph,https://morph.io/documentation,A scraping platform,,Developer,"Server, Hosted",,,Scraping,,,,,,Collect,Collect Data,,,,,,,,,,,,,,,,,,,,,,,,,,Ruby,,,,
,Tableau software,,,,,,,,,,,,,,,,Publish,Present Data,Organise,Analyse Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ogre,http://ogre.clojurewerkz.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clojure,,,,
,Tamedia,,,,,,,,,,internal query with translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abby,Systran,Temis,"Abby (OCR), Systran (Translation), Temis (Entity extraction), Cogito Intelligence Platform (Web based Entity Search), Crawling (IDM Police crawler)"
,ICIJ Extract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Java,Tika,Solr,Neo4J,"Apache Tika (document extraction), Apache Solr (data management), JBIG2-ImageIO, Redis (database), Neo4J (database), Linkurious, Oxwall (social networking platform for discussion of documents), Blacklight, TesseractOCR"
,Document Cloud,,,,,,,,,,,,,,,,Organise,Store Data,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,
No,Prettylist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,US color-coded map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Choose Your Own Adventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,World Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Data Wrapper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Timeline.js,,,,,,,,,,,,,,,,Publish,Present Data,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,
,http://www.umbel.org,,,,,,,,,,,,,,,,Organise,Model Data,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,
,Neo4J,,,,,,,,,,,,Storage,,Graph Database,,Organise,Store Data,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,
,Git,,,,,,,,,,,,Storage,,Version Control System,,Organise,Store Data,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,
,Diff Match and Patch libraries,,https://code.google.com/p/google-diff-match-patch/,,,,,,,,,Library,Text Processing,,Comparison,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Javascript,,,,
,Intro.js,http://usablica.github.io/intro.js/,https://github.com/usablica/intro.js,,,,,,,,,Library,User Interface,,Walkthrough,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Javascript,,,,
,Angular.js,,,,,,,,,,MVC,Library,User Interface,,Web Framework,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Javascript,,,,
,BeautifulSoup,,,,,,,,,,,Library,Collection,,Scraping,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Python,,,,
,Requests,,,,,,,,,,,Library,Collection,,Scraping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,
No,JSON,,,,,,,,,,,,Data Format,,Document,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,
No,CSV,,,,,,,,,,,,Data Format,,Tabular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,RDF,,,,,,,,,,,,Data Format,,Graph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Solr,,,,,,,,,,,,Access,,Search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PoderoPedia Plug & Play,,https://github.com/poderopedia/plug-and-play-1.0-RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,
No,Web2py,http://www.web2py.com/,https://github.com/web2py/web2py/,,,,,,,,MVC,Library,User Interface,,Web Framework,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Python,,,,
,Fuseki,,,,,,,,,,,,Access,,Query,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Apache Lucene,,,
,MySql,,,,,,,,,,,,Storage,,Relational Database,,Organise,Store Data,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,
,PostgresSQL,,,,,,,,,,,,Storage,,Relational Database,,Organise,Store Data,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,
,Data Commons,,https://github.com/sunlightlabs/datacommons,,,,,,,,"Imports, mashups, data api",,Framework,,Data Management,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Python,Django,,,
,Brisket,,https://github.com/sunlightlabs/brisket,,,,,,,,,,User Interface,,Web App,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,Python,Django,,,
,Read_FEC,,https://github.com/sunlightlabs/read_FEC,,,,,,,,,,Collection,,Web App,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,Python,Django,,,
,WikiTalk Parser,,https://github.com/sdivad/WikiTalkParser/,,,,,,,,Wikipedia,,Collection,,Scraping,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,Python,Wikipedia,,,
,ABCD-Gephi-Plugin,,https://github.com/jacomyal/ABCD-Gephi-Plugin,,,,,,,,Gephi,,Analysis,,,,Publish,Present Data,,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,Java,Gephi,,,
,ContropediaTalk,,https://github.com/sdivad/ContropediaTalk,,,,,,,,WikiTalk Parser,,Analysis,,,,Organise,Analyse Data,,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,Python,,,,
,Scraper Lobbyliste,,https://github.com/lobbyradar/scraper-lobbyliste,,,,,,,,,,Collection,,Scraping,,Collect,Collect Data,,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,,,,,
No,jQuery ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
